area,latitude,longitude,avg_pm2.5
Ghaziabad,28.6691565,77.4537578,381
Noida,28.5355161,77.3910265,317
Moradabad,28.8386481,78.7733286,272
Delhi,28.7040592,77.1024902,265
Bhiwadi,28.2088218,76.8445999,263
Lucknow,26.8466937,80.946166,245
Gurgaon,28.4594965,77.0266383,240
Rohtak,28.8955152,76.606611,209
Faridabad,28.4089123,77.3177894,206
Kanpur,26.449923,80.3318736,205
Agra,27.1766701,78.0080745,204
Patna,25.5940947,85.1375645,167
Varanasi,25.3176452,82.9739144,162
Mandi Gobindgarh,30.6637378,76.3000419,146
Ludhiana,30.900965,75.8572758,144
Muzaffarpur,26.1208876,85.3647201,144
Jodhpur,26.2389469,73.0243094,143
Jaipur,26.9124336,75.7872709,137
Amritsar,31.6339793,74.8722642,117
Ahmedabad,23.022505,72.5713621,112
Panchkula,30.6942091,76.860565,100
Gaya,24.7954523,84.999431,74
Nagpur,21.1458004,79.0881546,69
Mumbai,19.0759837,72.8776559,60
Solapur,17.6599188,75.9063906,55
Thane,19.2183307,72.9780897,54
Vijaywada,16.5061743,80.6480153,52
Aurangabad,19.8761653,75.3433139,51
Nashik,19.9974533,73.7898023,51
Hyderabad,17.385044,78.486671,50
Chandrapur,19.9704597,79.3014845,46
Chennai,13.0826802,80.2707184,40
Rajamahandevaram,17.0005383,81.8040345,36
Trivandrum,8.5241391,76.9366376,35
Bangalore,12.9715987,77.5945627,34
Chitoor,13.217176,79.1003289,33
Visakhapatnam,17.6868159,83.2184815,31
